Content	Keywords
Vitalik Buterin denies claims of selling ETH for Profits Home Bitcoin Ethereum Altcoin DeFi Market News Crypto Gaming NFT Blockchain AI Exclusive Best No-KYC Casino Reading: Vitalik Buterin denies claims of selling ETH for Profits Font Resizer Aa All Bitcoin Ethereum Altcoin DeFi Market News NFT Blockchain AI Exclusive Search Home Bitcoin Ethereum Altcoin DeFi Market News Crypto Gaming NFT Blockchain AI Exclusive Best No-KYC Casino Follow US © 2024 By Crypto Times. All Rights Reserved	blockchain, ethereum, bitcoin, crypto, nft, defi
The Crypto Times > Ethereum News > Vitalik Buterin denies claims of selling ETH for Profits Ethereum News Vitalik Buterin denies claims of selling ETH for Profits On August 9, Lookonchain noted that Buterin transferred 3,000 ETH from his wallet. Written By: Dishita Malvania Reviewed By: Jahnu Jagtap Last updated: September 1, 2024 2:01 AM Published August 31, 2024 5:48 PM Last updated: September 1, 2024 2:01 AM Published August 31, 2024 5:48 PM SHARE Ethereum’s co-founder, Vitalik Buterin, has addressed recent accusations regarding his sale of Ether (ETH)	ethereum, crypto, wallet
On August 30, a crypto community member claimed Buterin sold over $2 million worth of ETH shortly after making a bullish tweet. Onchain analytics firm Lookonchain also noted that Buterin transferred 3,000 ETH from his wallet on August 9	crypto, wallet
Buterin responded on August 31, dismissing these allegations. He explained that he hasn’t sold any ETH for personal gain since 2018	
Instead, all sales were made to support Web3 projects and charitable causes. Source: Twitter “I haven’t sold and kept the proceeds since 2018,” Buterin stated	web3
“All sales have been to support various projects that I think are valuable, either within the Ethereum ecosystem or broader charity, like biomedical research.” The crypto community largely supported Buterin’s stance. Many users encouraged him to continue using ETH profits for positive causes, with one user even suggesting he “deserves the yacht” for his contributions	ethereum, crypto
Buterin also recently defended Ethereum against claims it is neglecting decentralized finance (DeFi). Kain Warwick, creator of yield farming, criticized Buterin’s view on DeFi, but Buterin remained firm on his commitment to Ethereum’s core values: permissionlessness and decentralization	ethereum, decentralized, defi
He emphasized his focus on creating sustainable, useful applications rather than chasing temporary trends. Also Read: Vitalik Buterin Reveals $139K Salary at Ethereum Foundation Follow The Crypto Times on Google News to Stay Updated! TAGGED: Cryptocurrency Ethereum By Dishita Malvania Dishita is a skilful content writer and have been growing her interest in crypto lately	ethereum, cryptocurrency, crypto
She likes to write in other areas as well. She loves travelling & have pretty decent photography skills	
She is a Baker and wants to open her Bakery. She love dogs and wish to pet them someday	
By Jahnu Jagtap Follow: Jahnu Jagtap, a crypto enthusiast since 2020. Loves to guide others to understand blockchains, crypto currencies, NFTs, Metaverse and everything in Web3	web3, crypto
He is passionate about his work and never stops his research on crypto. Latest News Hamster Kombat Announces Final List Before Airdrop: 131 Million Qualify “I alerted Nischal of WazirX Hack, He didn’t believe first”: Cyvers VP Solana Unveils ‘Seeker’: Next-Gen Device Boosts SOL Price Hamster Kombat Faces Massive Backlash Over Unfair Airdrop Follow US Facebook X-twitter Instagram Telegram Linkedin Subscribe to our newsletter to get our newest articles instantly! Email address: Leave this field empty if you're human: Recommended News SEC Approves Options Trading for BlackRock’s Bitcoin ETF September 21, 2024 11:12 AM As Bitcoin Boosts on Fed Rate Cut, These 5 Altcoins Could Turn Your $1,000 Investment Into $2 Million by Next Year September 21, 2024 1:25 AM High-Risk Bug in Bitcoin Core Affects 17% of Full Nodes September 20, 2024 10:13 PM Why Experts Predict $1,000 Put Into This Solana (SOL) Alternative Could Increase to $11,000 by Mid-2026 September 20, 2024 8:50 PM Your window into the world of Crypto, DeFi, and Web3	bitcoin, web3, crypto, defi
Stay ahead of the curve with authentic news, sharp analysis, and exclusive in-sight reports only on The Crypto Times. Crypto News Bitcoin News Ethereum News Altcoin News Crypto Gaming DeFi News Market News NFT News Blockchain News AI News Market With Us Editorial Press Release Write for us Company About Us Contact Us Career Editorial Policy Find Us on Socials Facebook Twitter Linkedin Instagram Telegram © 2024 Protocols And Tokens Pvt	blockchain, ethereum, bitcoin, crypto, nft, defi
Ltd. Terms and Conditions Disclaimer Privacy Policy We are using cookies to give you the best experience on our website	
Accept Close GDPR Cookie Settings Privacy Overview Strictly Necessary Cookies Powered by GDPR Cookie Compliance Privacy Overview This website uses cookies so that we can provide you with the best user experience possible. Cookie information is stored in your browser and performs functions such as recognising you when you return to our website and helping our team to understand which sections of the website you find most interesting and useful	
Strictly Necessary Cookies Strictly Necessary Cookie should be enabled at all times so that we can save your preferences for cookie settings. Enable or Disable Cookies If you disable this cookie, we will not be able to save your preferences	
This means that every time you visit this website you will need to enable or disable cookies again. Enable All Save Settings	
